Feature,Score
hashtags_2_name_adsvsreality,557.4987148004084
createTimeISO_2024-04-19T15:13:18.000Z,557.4987148004084
hashtags_3_name_instagramvsreality,557.4987148004084
hashtags_0_name_stitch,298.18366923910185
createTimeISO_2024-02-27T18:17:39.000Z,92.37976842804022
hashtags_0_name_isarbclan,92.37976842804022
hashtags_4_name_cult,87.77403396784631
createTimeISO_2023-12-26T23:58:18.000Z,87.77403396784631
hashtags_0_name_freesebastian,87.77403396784631
hashtags_3_name_streetsla,87.77403396784631
hashtags_1_name_poplchallengue,87.77403396784631
hashtags_5_name_secta,87.77403396784631
hashtags_6_name_scientologists,87.77403396784631
hashtags_1_name_scientology,87.77403396784631
hashtags_2_name_newtech,87.77403396784631
hashtags_6_name_instant,87.77403396784631
hashtags_3_name_technology,87.77403396784631
hashtags_11_name_trendtiktok2024,78.95455964388357
hashtags_1_name_muabarabai,78.95455964388357
hashtags_8_name_muabanjarbaru,78.95455964388357
hashtags_3_name_muaamuntai,78.95455964388357
hashtags_2_name_muabanjarmasin,78.95455964388357
hashtags_10_name_makeuptransisi,78.95455964388357
hashtags_9_name_muatapin,78.95455964388357
hashtags_7_name_muabanjarbaru,78.95455964388357
hashtags_0_name_muakalsel,78.95455964388357
hashtags_6_name_muatabalong,78.95455964388357
createTimeISO_2024-03-20T11:44:54.000Z,78.95455964388357
hashtags_5_name_muakandangan,78.95455964388357
hashtags_4_name_muaparingin,78.95455964388357
hashtags_4_name_harrypotter,55.5337971475782
hashtags_12_name_kitten,55.5337971475782
hashtags_2_name_dobbytheelf,55.5337971475782
hashtags_6_name_cat,55.5337971475782
hashtags_11_name_reincarnation,55.5337971475782
hashtags_7_name_catsoftiktok,55.5337971475782
hashtags_5_name_hp,55.5337971475782
hashtags_3_name_dobbyisafreeelf,55.5337971475782
hashtags_10_name_lol,55.5337971475782
hashtags_1_name_dobby,55.5337971475782
hashtags_8_name_funny,55.5337971475782
hashtags_13_name_freecat,55.5337971475782
createTimeISO_2024-01-11T13:50:01.000Z,55.5337971475782
hashtags_2_name_diseño,52.807450768605094
hashtags_4_name_heladodecoco,52.807450768605094
hashtags_1_name_diseñografico,52.807450768605094
hashtags_3_name_flyer,52.807450768605094
createTimeISO_2023-01-26T15:24:12.000Z,52.807450768605094
hashtags_1_name_youngmiko,52.06023372723926
hashtags_0_name_babymiko,52.06023372723926
hashtags_4_name_trapkittyworldtour,52.06023372723926
hashtags_3_name_loveher,52.06023372723926
createTimeISO_2023-09-25T21:10:12.000Z,52.06023372723926
createTimeISO_2023-10-19T03:15:38.000Z,45.471473734622805
hashtags_3_name_celulares,45.471473734622805
hashtags_7_name_vir,45.471473734622805
hashtags_6_name_electrodomesticos,45.471473734622805
hashtags_2_name_catamayo,45.471473734622805
createTimeISO_2024-07-04T23:39:25.000Z,45.471473734622805
hashtags_1_name_hermanos,45.471473734622805
hashtags_2_name_sad,42.76845956183357
createTimeISO_2023-12-19T01:39:32.000Z,39.3538195541813
hashtags_6_name_detradecamaras,39.3538195541813
hashtags_2_name_hollywood,39.3538195541813
hashtags_3_name_comercialesdetv,39.3538195541813
createTimeISO_2024-06-24T17:14:14.000Z,39.3538195541813
hashtags_5_name_realitytv,39.3538195541813
hashtags_0_name_tarotdelamuerte,36.46928985659324
createTimeISO_2024-05-16T01:21:07.000Z,36.46928985659324
createTimeISO_2023-09-28T18:27:15.000Z,33.69977455291958
hashtags_1_name_tiendaencorea,31.044433694645246
hashtags_3_name_tiendadeconveniencia,31.044433694645246
createTimeISO_2024-06-15T04:42:29.000Z,31.044433694645246
createTimeISO_2024-02-29T04:57:07.000Z,26.073102778288828
hashtags_2_name_libredeser,24.476546294249342
hashtags_0_name_phonk,24.476546294249342
hashtags_4_name_musica,24.476546294249342
hashtags_3_name_greektok,24.476546294249342
createTimeISO_2023-11-26T19:41:15.000Z,24.476546294249342
hashtags_1_name_kfc,24.476546294249342
hashtags_5_name_dancing,24.476546294249342
hashtags_7_name_comidarapida,24.476546294249342
hashtags_6_name_food,24.476546294249342
createTimeISO_2023-11-14T06:00:57.000Z,23.755618259249985
createTimeISO_2024-04-22T12:58:31.000Z,23.755618259249985
hashtags_3_name_zoroffx333,23.755618259249985
hashtags_5_name_sunscreenwhitecast,21.549318121397768
hashtags_6_name_blackgirlsunscreen,21.549318121397768
hashtags_7_name_kbeauty,21.549318121397768
hashtags_4_name_whitecast,21.549318121397768
createTimeISO_2024-05-24T00:59:12.000Z,21.549318121397768
createTimeISO_2023-12-18T20:29:39.000Z,21.549318121397768
hashtags_10_name_nowhitecast,21.549318121397768
hashtags_3_name_anua,21.549318121397768
hashtags_1_name_centrohistorico,21.549318121397768
createTimeISO_2023-11-01T18:55:02.000Z,21.549318121397768
hashtags_9_name_sunscreenfordarkskin,21.549318121397768
hashtags_2_name_sunscreen,21.549318121397768
hashtags_11_name_koreanskincare,21.549318121397768
hashtags_8_name_sunscreenforblackpeople,21.549318121397768
hashtags_12_name_viralkoreanskincare,21.549318121397768
hashtags_7_name_mexico,20.39884708059607
hashtags_6_name_comedia,20.07041044619181
hashtags_8_name_colombia,19.86892843986908
createTimeISO_2024-04-07T20:25:48.000Z,19.453544423736684
hashtags_0_name_solidaridad,19.453544423736684
hashtags_1_name_archidona_napo_ecuador🇪🇨,19.453544423736684
hashtags_4_name_ayuda,19.453544423736684
hashtags_1_name_cafe,17.467674016976652
hashtags_8_name_capcutmexico,17.467674016976652
hashtags_10_name_pareja,17.467674016976652
createTimeISO_2024-01-26T00:27:50.000Z,17.467674016976652
hashtags_6_name_plantillascapcut,17.467674016976652
createTimeISO_2024-03-23T06:09:22.000Z,17.467674016976652
hashtags_2_name_milo,17.467674016976652
hashtags_5_name_plantillagratis,17.467674016976652
createTimeISO_2023-06-14T00:31:08.000Z,17.467674016976652
hashtags_5_name_lasvegaslocals,17.467674016976652
createTimeISO_2023-06-13T00:14:38.000Z,17.467674016976652
hashtags_2_name_vegas,17.467674016976652
hashtags_4_name_fyyyyyyyyyyyyyyyy,17.467674016976652
hashtags_0_name_pinkcoffee,17.467674016976652
hashtags_9_name_amor,17.467674016976652
hashtags_3_name_vegastiktok,17.467674016976652
hashtags_1_name_maimiloj,17.467674016976652
hashtags_10_name_chile,17.281878236328815
hashtags_0_name_pickleflipflops,16.753935519478084
hashtags_6_name_australia,15.59111807457668
hashtags_7_name_film,15.59111807457668
createTimeISO_2024-05-02T10:17:24.000Z,15.59111807457668
hashtags_3_name_dolphins,15.59111807457668
hashtags_4_name_surfing,15.59111807457668
hashtags_2_name_fypviral,15.59111807457668
hashtags_5_name_cinematic,15.59111807457668
hashtags_8_name_anuncio,14.424290834044125
hashtags_8_name_fypシ,14.11656023139544
createTimeISO_2023-11-07T22:48:43.000Z,13.823321651373467
hashtags_2_name_fyy,13.823321651373467
createTime,13.321439980650402
hashtags_0_name_cr7,13.243803234133551
publicidad,12.883881276270685
hashtags_7_name_plantillas_edits,12.672714517003465
hashtags_0_name_publicidad,12.268521915256043
hashtags_0_name_fyp,12.194683306681725
createTimeISO_2024-05-02T21:09:02.000Z,12.163763269170557
hashtags_8_name_bestie,12.163763269170557
createTimeISO_2024-02-29T01:52:03.000Z,10.61195452870482
createTimeISO_2024-03-27T21:32:21.000Z,10.61195452870482
createTimeISO_2024-05-21T12:48:17.000Z,10.61195452870482
createTimeISO_2024-01-11T20:41:10.000Z,10.61195452870482
hashtags_0_name_edit,10.61195452870482
hashtags_0_name_maybelline,10.61195452870482
hashtags_0_name_eletricidade,10.61195452870482
hashtags_1_name_3segundos,10.61195452870482
hashtags_1_name_freeenergy,10.61195452870482
hashtags_2_name_musiccollection,10.61195452870482
hashtags_1_name_cristianoronaldo,9.769477600695412
hashtags_7_name_seriesindonesia,9.167439747446387
createTimeISO_2024-04-24T21:32:15.000Z,9.167439747446387
hashtags_1_name_privatebodyguard,9.167439747446387
createTimeISO_2024-01-16T15:02:15.000Z,9.167439747446387
hashtags_4_name_insano,9.167439747446387
hashtags_2_name_sandrinamichelle,9.167439747446387
hashtags_3_name_juniorroberts,9.167439747446387
hashtags_0_name_perrito,9.167439747446387
createTimeISO_2024-01-10T04:36:25.000Z,9.167439747446387
hashtags_4_name_aryamohan,9.167439747446387
createTimeISO_2024-02-02T02:35:06.000Z,9.167439747446387
hashtags_3_name_calvin,9.167439747446387
hashtags_0_name_privatebodyguarddiviu,9.167439747446387
hashtags_3_name_virał,9.167439747446387
hashtags_5_name_fattahsyach,9.167439747446387
hashtags_8_name_freefire_lover,9.167439747446387
createTimeISO_2024-04-14T18:16:42.000Z,9.167439747446387
hashtags_6_name_harryvaughan,9.167439747446387
createTimeISO_2024-03-08T09:57:38.000Z,9.167439747446387
hashtags_5_name_latamfreefire,9.167439747446387
hashtags_6_name_elmejordefreefire,9.167439747446387
hashtags_3_name_quito,8.863874433437413
hashtags_4_name_ecuador,7.9977023173396695
ambato,7.9880036483754
hashtags_0_name_slime,7.82979562272685
hashtags_2_name_childhood,7.82979562272685
createTimeISO_2024-02-12T17:18:18.000Z,7.82979562272685
hashtags_1_name_blue,7.82979562272685
createTimeISO_2023-04-24T19:47:44.000Z,7.82979562272685
hashtags_4_name_plantillas,7.475291327840593
hashtags_9_name_viral,7.3164103350938925
hashtags_2_name_luminous630,7.1090230959047735
hashtags_4_name_energyhealing,6.765536282263363
hashtags_8_name_couple,6.598630919727494
createTimeISO_2024-03-26T02:22:11.000Z,6.598630919727494
hashtags_0_name_antesdeanthelios,6.598630919727494
hashtags_0_name_labishoda,6.598630919727494
hashtags_6_name_shoot,6.598630919727494
hashtags_3_name_grwm,6.598630919727494
hashtags_1_name_tiktokfashion,6.598630919727494
hashtags_3_name_goals,6.598630919727494
createTimeISO_2024-04-30T11:07:37.000Z,6.598630919727494
createTimeISO_2024-02-14T17:52:09.000Z,6.598630919727494
createTimeISO_2023-10-10T21:32:12.000Z,6.598630919727494
hashtags_1_name_evangeline,6.598630919727494
hashtags_2_name_maluborges,6.598630919727494
hashtags_2_name_localclothingbrand,6.598630919727494
hashtags_10_name_boyfriend,6.598630919727494
hashtags_2_name_disney,6.598630919727494
hashtags_1_name_publicidadpagada,6.598630919727494
createTimeISO_2024-06-14T18:06:53.000Z,6.598630919727494
hashtags_0_name_roytwins,6.586181364332909
hashtags_10_name_fy,6.5528737575732405
hashtags_5_name_foryoupage,6.350861078061736
createTimeISO_2024-01-04T23:46:18.000Z,6.287519424924399
hashtags_6_name_hermanos,6.272214403608492
hashtags_7_name_comedia,6.272214403608492
hashtags_9_name_colombia,6.15510956710455
ecuador,5.870351754187981
hashtags_3_name_publicidade,5.534960445671203
createTimeISO_2024-04-17T11:16:41.000Z,5.473586183895746
hashtags_1_name_loja,5.448692507255239
hashtags_5_name_fypシ゚viral,5.358072057180882
hashtags_2_name_freefire,5.024206604432685
hashtags_10_name_xyzbca,4.965641908873382
santodomingoecuador,4.921883021539278
hashtags_3_name_dontunderreviewmyvideo,4.893582676258884
hashtags_2_name_fy,4.692371735104969
ofertas,4.6397788154351325
createTimeISO_2023-08-16T22:53:14.000Z,4.454333477393146
hashtags_3_name_real,4.454333477393146
hashtags_3_name_peligro,4.454333477393146
hashtags_0_name_friendship,4.454333477393146
hashtags_7_name_helf,4.454333477393146
hashtags_2_name_terminoelaño,4.454333477393146
createTimeISO_2024-03-22T15:53:32.000Z,4.454333477393146
hashtags_0_name_jjkman,4.454333477393146
hashtags_3_name_mejorexpromo,4.454333477393146
createTimeISO_2023-03-18T23:59:50.000Z,4.454333477393146
hashtags_4_name_teamdream,4.454333477393146
hashtags_0_name_mewing,4.454333477393146
hashtags_0_name_😂😂,4.454333477393146
createTimeISO_2024-02-16T22:41:04.000Z,4.454333477393146
createTimeISO_2023-11-05T22:46:11.000Z,4.454333477393146
hashtags_0_name_terremoto,4.454333477393146
hashtags_2_name_asiaimportec,4.454333477393146
hashtags_3_name_recipeformagic,4.454333477393146
hashtags_1_name_carlsjrmx,4.454333477393146
createTimeISO_2024-03-06T20:44:09.000Z,4.454333477393146
createTimeISO_2024-03-20T23:53:49.000Z,4.454333477393146
hashtags_2_name_freefood,4.454333477393146
hashtags_2_name_godzillaykong,4.454333477393146
createTimeISO_2024-01-20T16:08:40.000Z,4.454333477393146
hashtags_2_name_mishark,4.454333477393146
hashtags_1_name_food,4.454333477393146
createTimeISO_2024-01-06T13:26:54.000Z,4.454333477393146
createTimeISO_2024-04-08T21:04:09.000Z,4.454333477393146
hashtags_5_name_expromo,4.454333477393146
hashtags_1_name_daddyshomegojo,4.454333477393146
hashtags_1_name_cocacolazero,4.454333477393146
createTimeISO_2024-05-29T22:14:02.000Z,4.454333477393146
createTimeISO_2023-12-18T18:29:10.000Z,4.454333477393146
hashtags_1_name_foryoupage,4.287490912418637
hashtags_0_name_freepalestine🇵🇸🥺,4.068292184357451
hashtags_1_name_freepalestine🇵🇸🥺🥺🥺🤲,4.068292184357451
hashtags_2_name_publicidad,3.9448358564233854
hashtags_1_name_ecuador,3.8447528813003444
hashtags_4_name_foryou,3.73606337893811
hashtags_8_name_mexico,3.6817122315619115
hashtags_9_name_energyhealing,3.5405761392124906
hashtags_11_name_pareddeespejo,3.5405761392124906
hashtags_2_name_espejos,3.5405761392124906
hashtags_5_name_asmrsounds,3.5405761392124906
createTimeISO_2023-02-23T17:12:26.000Z,3.5405761392124906
hashtags_6_name_espejosled,3.5405761392124906
hashtags_3_name_asmrwhispers,3.5405761392124906
hashtags_5_name_espejosdecorativos,3.5405761392124906
hashtags_10_name_asmrvideo,3.5405761392124906
hashtags_1_name_pier,3.5405761392124906
hashtags_4_name_postre,3.5405761392124906
hashtags_6_name_asmrtriggers,3.5405761392124906
hashtags_2_name_asmr,3.5405761392124906
createTimeISO_2023-11-13T11:13:14.000Z,3.5405761392124906
createTimeISO_2024-06-03T16:40:59.000Z,3.5405761392124906
hashtags_4_name_diseñodeinteriores,3.5405761392124906
hashtags_7_name_asmrtiktoks,3.5405761392124906
hashtags_8_name_asmrmassage,3.5405761392124906
hashtags_1_name_tumomentorca,3.5405761392124906
createTimeISO_2024-01-07T21:24:34.000Z,3.5405761392124906
hashtags_3_name_vidrio,3.5405761392124906
hashtags_8_name_diseñodeinteriores,3.5405761392124906
hashtags_3_name_receta,3.5405761392124906
hashtags_7_name_mirrorwall,3.5405761392124906
hashtags_11_name_ecuadorlive,3.5405761392124906
hashtags_12_name_colibrivisuals,3.5405761392124906
hashtags_0_name_pareddeespejos,3.5405761392124906
createTimeISO_2024-02-16T19:24:41.000Z,3.5199400256875317
hashtags_5_name_feria,3.5199400256875317
hashtags_4_name_dulces,3.5199400256875317
createTimeISO_2024-02-15T13:37:31.000Z,3.504502714347
gratis,3.4991205566115817
hashtags_9_name_fypage,3.479560018172529
hashtags_1_name_paranormal,3.4498905749252744
hashtags_0_name_terror,3.4498905749252744
createTimeISO_2024-06-23T22:37:46.000Z,3.4498905749252744
hashtags_3_name_ohnonononoo,3.4498905749252744
createTimeISO_2023-12-16T12:09:41.000Z,3.425286316498477
hashtags_9_name_fyp,3.4241290743886355
hashtags_1_name_graciasporsuapoyo❣️,3.272892969296684
createTimeISO_2024-03-30T22:40:24.000Z,3.272892969296684
hashtags_8_name_asmr,3.2152076413725226
hashtags_11_name_asmr,3.2152076413725226
hashtags_7_name_cuencalimpia,3.2152076413725226
hashtags_0_name_asmrmassage,3.2152076413725226
createTimeISO_2024-04-09T17:18:20.000Z,3.2152076413725226
hashtags_6_name_alfredouno,3.2152076413725226
hashtags_3_name_goodvibes,3.2152076413725226
hashtags_2_name_cracking,3.2152076413725226
hashtags_1_name_massage,3.2152076413725226
videoMeta_duration,3.2092988413794634
promo,3.1645690576847545
hashtags_3_name_tdah,3.1094444103529093
hashtags_6_name_atencion,3.1094444103529093
createTimeISO_2023-09-30T03:26:59.000Z,3.1094444103529093
hashtags_4_name_hiperactividad,3.1094444103529093
cuenca,3.043223418606496
hashtags_1_name_publicidad,3.0428521922253604
hashtags_15_name_anuncio,3.0396565442647323
hashtags_20_name_english,3.0396565442647323
hashtags_12_name_piloto,3.0396565442647323
hashtags_17_name_monologo,3.0396565442647323
hashtags_18_name_divertido,3.0396565442647323
hashtags_6_name_avion,3.0396565442647323
hashtags_7_name_fp,3.0396565442647323
hashtags_8_name_spanishteacher,3.0396565442647323
hashtags_21_name_englishteacher,3.0396565442647323
hashtags_5_name_flightattendant,3.0396565442647323
hashtags_4_name_piloto,3.0396565442647323
hashtags_11_name_azafata,3.0396565442647323
hashtags_2_name_teacher,3.0396565442647323
hashtags_9_name_duet,3.0396565442647323
hashtags_19_name_learnenglish,3.0396565442647323
hashtags_14_name_capitan,3.0396565442647323
hashtags_1_name_aprendeespañol,3.0396565442647323
createTimeISO_2023-09-21T06:19:02.000Z,3.0396565442647323
hashtags_13_name_comandante,3.0396565442647323
hashtags_1_name_fyp,3.0389727966597895
hashtags_0_name_twister,2.9659352524003277
createTimeISO_2024-06-26T21:55:05.000Z,2.9659352524003277
hashtags_11_name_familia,2.964373053589527
hashtags_6_name_foryou,2.9399758706399606
hashtags_1_name_escalator,2.892400382318089
hashtags_2_name_team,2.892400382318089
createTimeISO_2023-12-11T21:17:57.000Z,2.892400382318089
hashtags_0_name_ucl,2.892400382318089
hashtags_3_name_realmadrid,2.892400382318089
hashtags_4_name_korea,2.887678873529859
createTimeISO_2024-01-05T02:14:31.000Z,2.887678873529859
hashtags_8_name_colombiana,2.887678873529859
hashtags_7_name_foryourpage,2.887678873529859
hashtags_3_name_corea,2.887678873529859
hashtags_2_name_ramen,2.887678873529859
hashtags_1_name_conviniencestore,2.887678873529859
guayaquil,2.8654625397782874
hashtags_16_name_lentes,2.8319846869472363
hashtags_0_name_lentes,2.8319846869472363
hashtags_14_name_ofertas,2.8319846869472363
hashtags_13_name_promocion,2.8319846869472363
hashtags_12_name_agosto,2.8319846869472363
hashtags_15_name_primerolacomunidad,2.8319846869472363
hashtags_11_name_consejos,2.8319846869472363
hashtags_2_name_optica,2.8319846869472363
hashtags_4_name_salud,2.8319846869472363
hashtags_9_name_lentes,2.8319846869472363
hashtags_6_name_visionyreino,2.8319846869472363
createTimeISO_2023-08-26T02:59:14.000Z,2.8319846869472363
hashtags_5_name_ojos,2.8319846869472363
hashtags_3_name_lenstore,2.8319846869472363
