playCount,createTimeISO,hashtags_0_name,hashtags_0_title,hashtags_1_name,hashtags_1_title,hashtags_2_name,hashtags_2_title,hashtags_3_name,hashtags_3_title,hashtags_4_name,hashtags_4_title,hashtags_5_name,hashtags_5_title,hashtags_6_name,hashtags_6_title,hashtags_7_name,hashtags_7_title,hashtags_8_name,hashtags_8_title,hashtags_9_name,hashtags_9_title,hashtags_10_name,hashtags_10_title,hashtags_11_name,hashtags_11_title,hashtags_12_name,hashtags_12_title,hashtags_13_name,hashtags_13_title,hashtags_14_name,hashtags_14_title,hashtags_15_name,hashtags_15_title,hashtags_16_name,hashtags_16_title,hashtags_17_name,hashtags_17_title,hashtags_18_name,hashtags_18_title,hashtags_19_name,hashtags_19_title,hashtags_20_name,hashtags_20_title,hashtags_21_name,hashtags_21_title,hashtags_22_name,hashtags_22_title,hashtags_23_name,hashtags_23_title,hashtags_24_name,hashtags_24_title,hashtags_25_name,hashtags_25_title,hashtags_26_name,hashtags_26_title,hashtags_27_name,hashtags_27_title,hashtags_28_name,hashtags_28_title,hashtags_29_name,hashtags_29_title,hashtags_30_name,hashtags_30_title,hashtags_31_name,hashtags_31_title,hashtags_32_name,hashtags_32_title,hashtags_33_name,hashtags_33_title,hashtags_34_name,hashtags_34_title,hashtags_35_name,hashtags_35_title,hashtags_36_name,hashtags_36_title,hashtags_37_name,hashtags_37_title,hashtags_38_name,hashtags_38_title,hashtags_39_name,hashtags_39_title,hashtags_40_name,hashtags_40_title,hashtags_41_name,hashtags_41_title,hashtags_42_name,hashtags_42_title,hashtags_43_name,hashtags_43_title,hashtags_44_name,hashtags_44_title,hashtags_45_name,hashtags_45_title,hashtags_46_name,hashtags_47_name,hashtags_47_title,hashtags_48_name,hashtags_48_title,input,isAd,isMuted,musicMeta_musicName,searchHashtag_name,searchHashtag_views,videoMeta_duration,ad,ecuador,publicidad,gratis,publi,anuncio,free,quito,ofertas,local,tienda,comercial,machala,promo,ambato,loja,promoecuador,comerciales,santodomingoecuador,guayaquil,cuenca
9900000,2024-02-02T13:34:31.000Z,pedernales_manabí_ecuador,,carnaval,"Aunque se hayan pospuesto las celebraciones en tu comunidad, esta semana puedes disfrutar de los Carnavales en TikTok. Queremos ver tus disfraces, tus storytimes más impactantes o tus ideas más alocadas para compartir con tus amigxs 🥳",camiseros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecuador,False,False,LA FALDA,ecuador,195300000000.0,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9900000,2023-11-06T01:45:34.000Z,humor,¡Es hora de reírte como nunca! Los videos más divertidos están aquí en TikTok. 😂😂😂,fyp,,limpias,,tiktok,,parati,,quitameesehombre,,foryou,,shaman,,jajaja,"JAJAJA 😂😂😂 Y a tí, ¿qué te hace reír?",cuenca,,ecuador,,comparte,,hazmeviraltiktok,,mima116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuenca,False,False,sonido original,cuenca,11700000000.0,30,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
9895,2023-10-02T15:23:36.000Z,lojaderoupas,,comediatiktok,,videosengracados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loja,False,False,som original,loja,8300000000.0,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
988900,2024-05-31T20:14:37.000Z,locucion,,agencia,,voiceover,"Voice Over for videos? We've got that. Try our new #VoiceOver feature, and tell us what's going on in your world. 🗣️",estudio,,locucioncomercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comercial,False,False,sonido original - maikolofoniestudio,comercial,3100000000.0,92,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
984000,2024-06-22T19:34:09.000Z,new,,vlog,share with us your daily life and your most special moments! We wanna see your best original vlogs !!!,fy,,cumparaturi,,gratis,,free,,chio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratis,False,False,Feel Good,gratis,18300000000.0,23,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
982,2024-07-10T19:35:37.000Z,santodomingoecuador,,estadosunidos🇺🇸,,amor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,santodomingoecuador,False,False,sonido original,santodomingoecuador,1700000000.0,173,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
981300,2023-12-04T23:47:56.000Z,greenscreen,"Try out the #GreenScreen Creative Effect! Check out the latest trends using #greenscreen for some inspiration. Just pick an image from your camera roll, stand in front of a plain background, and make the next TikTok masterpiece.",degreefree,,degreefreepodcast,,degreefreeteens,,degreefreejobs,,degreefreecareers,,electricallineman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,free,False,False,original sound,free,68200000000.0,106,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
980600,2023-05-31T00:03:47.000Z,cyber,,ofertas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ofertas,False,False,Flowers,ofertas,14200000000.0,49,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
980600,2023-07-03T19:38:47.000Z,adlaurent,,10couplesparfaits,,melanight,,telerealite,,tvrealite,,adlaurent_fit,,realitytv,,allan,,bryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ad,False,False,son original,ad,525800000000.0,158,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9800000,2024-01-23T21:25:37.000Z,humor,¡Es hora de reírte como nunca! Los videos más divertidos están aquí en TikTok. 😂😂😂,chiste,,comedia,"¡El rincón de la risa en TikTok! Disfruta y comparte los mejores memes, chistes e historias de comedia para divertir a todos en casa.",viral,¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM,tendencia,,usa,,mexico,México lindo y querido! 🇲🇽🇲🇽 No olvides utilizar el tag #mexico en tu video!,colombia,,ecuador,,quito,,cdmx,,peru,,españa,,newyork,,panama,Join #Panama hosted by @i_am_kiran！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quito,False,False,sonido original - UniversalPicturesMX,quito,36100000000.0,9,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
976900,2024-06-09T15:07:44.000Z,exhibitiongratis,,exhibitionjakarta,,pamerangratisjakarta,,explorejakarta,,dateideajakarta,,hangoutdijakarta,,placetogojkt,,pameranterbaru,,dateideas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratis,False,False,suara asli - Rec Place | AlifIsmailAdha,gratis,18300000000.0,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
976100,2024-06-14T17:46:48.000Z,,,publi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publi,True,False,som original,publi,33700000000.0,34,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
974900,2023-11-29T23:26:34.000Z,,,parati,,foryou,,quito,,ecuador,,bosquedeluz,,jardinbotanico,,navidadenquito,,planesquito,,recorridosnocturno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quito,False,False,Holly Jolly Christmas,quito,36100000000.0,40,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
974000,2024-05-08T21:39:13.000Z,omnivisión,,ecuador,,compartir,,ypf,,noticias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,santodomingoecuador,False,False,sonido original,santodomingoecuador,1700000000.0,119,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
973,2024-07-10T21:39:16.000Z,ultimoaño,,yasomospromo,,paratii,,fypp,,2024,,ecuador🇪🇨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,promoecuador,False,False,sonido original,promoecuador,748100.0,57,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
971600,2024-05-24T23:34:31.000Z,bedjine,,kdilak,,boukipromo,,mizik,,mizikayisyen,,haitiantiktok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,promo,False,False,son original,promo,32100000000.0,60,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9700000,2024-05-20T12:22:03.000Z,careso,,localbrand,,bodycare,,perfume,,indonesia,GO Indonesian Musers~!!! wkwkwk😆😆😆,fypp,,fypシ゚viral,,foryoupage,,halal,,viral,¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM,fypppp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,False,False,suara asli - Iganforyouu<3>,local,6900000000.0,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9700000,2024-02-06T22:23:24.000Z,dj,Are you the one responsible for the music this summer? Get inspiration from DJs around the world here.,paredao,,audio,,loja,,locutor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loja,False,False,som original,loja,8300000000.0,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
9700000,2024-04-25T12:39:28.000Z,glutenfree,,glutenfreerestaurants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,free,False,True,baddie background,free,68200000000.0,36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
96700,2024-07-10T22:56:59.000Z,urgente😱🔴,,rosaargudo,,denunciarosaargudo,,iessecuador,,iess,,nepotismo,,cuenca,,@wilopradoec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuenca,False,False,sonido original,cuenca,11700000000.0,299,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
967,2024-07-10T16:03:21.000Z,matam,,dakar,,,,dakar,,afrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,machala,False,False,son original,machala,3600000000.0,138,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
965300,2024-06-24T22:22:55.000Z,CapCut,,futbol,Rueda el balón por las canchas del mundo y los amantes del #futbol somos felices. ⚽ ❤️🤩 Celebremos este momento y llenemos TikTok con los mejores videos 😏,henry,,fabregas,,cescfabregas,,anuncio,,españa,,francia,,fyp,,parati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anuncio,False,False,sonido original,anuncio,1900000000.0,17,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
