playCount,createTimeISO,isAd,isMuted,videoMeta_duration,ad,ecuador,publicidad,gratis,publi,anuncio,free,quito,ofertas,local,tienda,comercial,machala,promo,ambato,loja,promoecuador,comerciales,santodomingoecuador,guayaquil,cuenca
958,2024-07-11T01:17:28.000Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
956200,2024-01-29T03:52:02.000Z,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9562,2023-09-20T15:09:06.000Z,0,0,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
953700,2024-06-20T14:45:10.000Z,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9519,2023-05-20T17:11:58.000Z,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
951200,2022-11-16T21:39:38.000Z,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95100,2023-09-24T21:33:50.000Z,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95000,2024-04-24T14:10:42.000Z,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
95,2024-07-10T22:30:34.000Z,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
949100,2024-05-09T13:02:05.000Z,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9400000,2024-03-23T02:03:21.000Z,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
939500,2024-03-31T03:28:11.000Z,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
939200,2024-07-01T17:58:39.000Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93900,2023-01-12T20:32:07.000Z,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
937200,2024-06-12T05:15:56.000Z,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93600,2024-05-31T18:07:58.000Z,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93600,2024-06-28T07:54:05.000Z,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
935800,2024-07-04T23:23:41.000Z,0,0,56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
934500,2024-01-29T20:29:41.000Z,0,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9310,2024-07-10T23:02:32.000Z,0,0,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
