playCount,createTimeISO,isAd,isMuted,videoMeta_duration,ad,ecuador,publicidad,gratis,publi,anuncio,free,quito,ofertas,local,tienda,comercial,machala,promo,ambato,loja,promoecuador,comerciales,santodomingoecuador,guayaquil,cuenca
95100,2023-09-24T21:33:50.000Z,False,False,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
95000,2024-04-24T14:10:42.000Z,True,False,33,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
95,2024-07-10T22:30:34.000Z,False,False,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
949100,2024-05-09T13:02:05.000Z,False,False,79,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9400000,2024-03-23T02:03:21.000Z,False,False,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
939500,2024-03-31T03:28:11.000Z,False,False,22,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
939200,2024-07-01T17:58:39.000Z,False,False,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
93900,2023-01-12T20:32:07.000Z,False,False,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
937200,2024-06-12T05:15:56.000Z,False,False,20,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
93600,2024-05-31T18:07:58.000Z,False,False,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
93600,2024-06-28T07:54:05.000Z,False,False,9,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
935800,2024-07-04T23:23:41.000Z,False,False,56,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
934500,2024-01-29T20:29:41.000Z,False,False,21,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
9310,2024-07-10T23:02:32.000Z,False,False,32,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
9300000,2024-02-02T02:35:06.000Z,False,False,24,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
9300000,2023-04-24T19:47:44.000Z,False,False,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9300000,2024-01-16T15:02:15.000Z,False,False,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
92800,2023-07-23T07:55:45.000Z,False,False,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
926200,2024-04-14T23:02:15.000Z,False,False,47,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
92600,2023-03-20T11:42:00.000Z,False,False,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
92600,2023-03-20T11:42:00.000Z,False,False,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
924600,2024-05-31T18:47:47.000Z,False,False,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9244,2024-07-11T01:15:30.000Z,False,False,51,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
924000,2024-05-31T21:54:11.000Z,False,False,58,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
923900,2024-05-24T03:52:36.000Z,False,False,9,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
92300,2024-06-07T20:16:36.000Z,False,False,13,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
921800,2024-06-21T13:40:40.000Z,False,False,12,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
921800,2024-06-21T13:40:40.000Z,False,False,12,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
920600,2023-12-19T13:08:36.000Z,False,False,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9200000,2024-01-19T00:56:06.000Z,False,False,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9200000,2024-02-15T05:54:13.000Z,False,False,68,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9200000,2024-06-16T10:52:36.000Z,True,False,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
917900,2024-03-10T19:49:06.000Z,False,False,32,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
917000,2024-01-09T21:04:57.000Z,False,False,54,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
915100,2024-02-01T03:08:45.000Z,False,False,14,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
913,2024-07-10T20:34:02.000Z,False,False,35,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9100000,2024-01-27T15:15:17.000Z,False,False,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
9100000,2024-03-21T19:09:15.000Z,False,False,271,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
904,2024-07-10T23:50:16.000Z,False,False,21,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
90300,2024-02-28T18:28:20.000Z,False,False,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
901600,2024-03-13T17:07:03.000Z,False,False,154,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9015,2022-09-19T15:41:40.000Z,False,False,21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
9013,2024-02-24T16:57:05.000Z,False,False,59,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
