diggCount,createTimeISO,isAd,isMuted,videoMeta_duration,ad,ecuador,publicidad,gratis,publi,anuncio,free,quito,ofertas,local,tienda,comercial,machala,promo,ambato,loja,promoecuador,comerciales,santodomingoecuador,guayaquil,cuenca
94600,2024-03-19T00:56:46.000Z,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
94500,2023-10-20T01:49:34.000Z,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94400,2023-08-05T01:31:52.000Z,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94100,2024-07-04T09:04:19.000Z,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9400000,2024-04-19T15:13:18.000Z,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940,2024-07-11T01:42:05.000Z,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
939600,2023-09-21T06:19:02.000Z,0,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93500,2024-06-24T19:46:45.000Z,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
93500,2023-10-18T22:52:39.000Z,0,0,29,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
931,2024-07-11T00:00:22.000Z,0,0,47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930300,2024-06-26T21:55:05.000Z,0,0,121,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930,2024-07-10T16:07:52.000Z,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2024-07-10T20:42:17.000Z,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
926,2024-07-10T21:20:58.000Z,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
926,2024-05-28T23:30:30.000Z,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
926,2024-05-14T01:06:32.000Z,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9241,2024-06-01T06:15:44.000Z,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92400,2023-06-08T21:04:40.000Z,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
924,2023-06-24T23:39:06.000Z,0,0,34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
9239,2023-09-08T01:08:59.000Z,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92300,2024-04-20T03:09:04.000Z,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920300,2024-01-05T02:14:31.000Z,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2024-03-02T19:02:40.000Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
