diggCount,createTime,createTimeISO,isAd,isMuted,videoMeta_duration,ad,ecuador,publicidad,gratis,publi,anuncio,free,quito,ofertas,local,tienda,comercial,machala,promo,ambato,loja,promoecuador,comerciales,santodomingoecuador,guayaquil,cuenca,hashtags_0_name,hashtags_1_name,hashtags_2_name,hashtags_3_name,hashtags_4_name,hashtags_5_name,hashtags_6_name,hashtags_7_name,hashtags_8_name,hashtags_9_name,hashtags_10_name,hashtags_11_name,hashtags_12_name,hashtags_13_name,hashtags_14_name,hashtags_15_name,hashtags_16_name,hashtags_17_name,hashtags_18_name,hashtags_19_name,hashtags_20_name,hashtags_21_name,hashtags_22_name,hashtags_23_name,hashtags_24_name,hashtags_25_name,hashtags_26_name,hashtags_27_name,hashtags_28_name,hashtags_29_name,hashtags_30_name,hashtags_31_name,hashtags_32_name,hashtags_33_name,hashtags_34_name,hashtags_35_name,hashtags_36_name,hashtags_37_name,hashtags_38_name,hashtags_39_name,hashtags_40_name,hashtags_41_name,hashtags_42_name,hashtags_43_name,hashtags_44_name,hashtags_45_name,hashtags_46_name,hashtags_47_name
1116,1720665626,2024-07-11T02:40:26.000Z,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freefire,stumbleguys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,1720665770,2024-07-11T02:42:50.000Z,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,free_fire,parati,ffcc,duxzen_ff,freefirelatino,viral,fypシ,garenafreefire,freefire,garena_freefire,foryou,free_fire,garena_freefire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303100,1714156471,2024-04-26T18:34:31.000Z,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,roytwins,lasgemelasdelfree,amimirenelchat,parati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271400,1709989481,2024-03-09T13:04:41.000Z,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freengels,🐰🦦🌷,freen,freensrcha,srchafreen,freensarocha,freenbecky,freen,freen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639700,1710196651,2024-03-11T22:37:31.000Z,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,redbull,freeredbull,addicted,obsession,whitevan,love,funny,lalala,redbul,fyp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,1720637703,2024-07-10T18:55:03.000Z,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,torokcouponhunter,samsclubfinds,samsclubdeals,savingmoney,shopwithme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,1720662360,2024-07-11T01:46:00.000Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727700,1711159401,2024-03-23T02:03:21.000Z,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,roytwins,roylimaryroyerlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421300,1716401810,2024-05-22T18:16:50.000Z,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dadjoke,funny,dadjokes,foryou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,1720656617,2024-07-11T00:10:17.000Z,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freefire,parati,gamerentiktok,FF,viral,gamergirl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
