diggCount,createTimeISO,isAd,isMuted,videoMeta_duration,ad,ecuador,publicidad,gratis,publi,anuncio,free,quito,ofertas,local,tienda,comercial,machala,promo,ambato,loja,promoecuador,comerciales,santodomingoecuador,guayaquil,cuenca
94600,2024-03-19T00:56:46.000Z,False,False,15,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
94500,2023-10-20T01:49:34.000Z,False,False,14,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
94400,2023-08-05T01:31:52.000Z,True,False,60,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
94100,2024-07-04T09:04:19.000Z,False,False,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9400000,2024-04-19T15:13:18.000Z,False,False,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
940,2024-07-11T01:42:05.000Z,False,False,258,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
939600,2023-09-21T06:19:02.000Z,False,False,26,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
93500,2024-06-24T19:46:45.000Z,False,False,10,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
93500,2023-10-18T22:52:39.000Z,False,False,29,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
931,2024-07-11T00:00:22.000Z,False,False,47,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
930300,2024-06-26T21:55:05.000Z,False,False,121,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
930,2024-07-10T16:07:52.000Z,False,False,36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
93,2024-07-10T20:42:17.000Z,False,False,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
926,2024-07-10T21:20:58.000Z,False,False,237,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
926,2024-05-28T23:30:30.000Z,False,False,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
926,2024-05-14T01:06:32.000Z,False,False,40,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
9241,2024-06-01T06:15:44.000Z,False,False,13,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
92400,2023-06-08T21:04:40.000Z,False,False,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
924,2023-06-24T23:39:06.000Z,False,False,34,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
9239,2023-09-08T01:08:59.000Z,False,False,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
92300,2024-04-20T03:09:04.000Z,False,False,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
920300,2024-01-05T02:14:31.000Z,False,False,210,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
92,2024-03-02T19:02:40.000Z,False,False,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
92,2024-07-10T16:55:33.000Z,False,False,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
913100,2023-08-26T02:59:14.000Z,False,False,26,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
9130,2024-02-22T17:46:02.000Z,False,False,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
91,2023-10-18T06:00:11.000Z,False,False,24,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
91,2024-07-10T22:49:05.000Z,False,False,44,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
90900,2024-04-05T23:37:47.000Z,False,False,108,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
90900,2024-05-17T03:12:11.000Z,False,False,18,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9085,2022-12-30T20:48:19.000Z,False,False,13,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
90800,2024-03-30T21:15:38.000Z,False,False,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
907400,2024-05-17T02:25:46.000Z,False,False,87,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
90500,2022-03-30T16:19:17.000Z,False,False,31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
90500,2024-03-08T20:18:24.000Z,False,False,10,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
901500,2024-01-09T17:50:05.000Z,False,False,105,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
90000,2023-11-08T15:47:40.000Z,True,False,66,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
900,2022-05-14T18:28:48.000Z,False,False,45,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,2024-07-10T18:54:20.000Z,False,False,25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,2024-07-10T14:58:42.000Z,False,False,22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
898800,2024-01-31T04:43:07.000Z,False,False,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
89700,2024-02-29T19:56:12.000Z,True,False,71,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
89700,2024-04-04T21:00:15.000Z,False,False,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
89600,2024-05-11T13:23:39.000Z,False,False,52,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
891700,2024-03-07T21:09:20.000Z,False,False,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
89000,2024-03-31T14:57:39.000Z,False,False,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
89,2024-07-10T22:07:07.000Z,False,False,39,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
88900,2023-12-19T04:02:21.000Z,False,False,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8888,2024-07-10T17:26:27.000Z,False,False,35,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8884,2024-06-28T19:12:29.000Z,False,False,67,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8880,2024-07-05T04:53:51.000Z,False,False,45,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8865,2022-10-31T02:32:59.000Z,False,False,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
884200,2024-03-21T19:09:15.000Z,False,False,271,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8838,2024-03-18T20:27:26.000Z,False,False,36,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
882900,2024-06-17T18:24:18.000Z,False,False,39,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
88100,2022-08-15T20:26:51.000Z,False,False,33,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
88100,2024-05-29T16:31:06.000Z,False,True,36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
88000,2024-05-22T12:08:09.000Z,False,False,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
88,2024-07-11T02:05:07.000Z,False,False,73,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
88,2023-04-11T21:29:20.000Z,False,False,46,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
87900,2023-06-29T07:36:36.000Z,False,False,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
87900,2024-06-17T10:59:43.000Z,False,False,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
87800,2024-06-20T14:45:10.000Z,False,False,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
87700,2023-11-30T18:38:52.000Z,False,False,27,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
876100,2024-05-23T01:46:44.000Z,False,False,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
87600,2024-01-09T12:04:20.000Z,False,False,40,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8750,2024-04-27T08:36:36.000Z,True,False,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
875,2023-10-25T22:29:10.000Z,False,False,86,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
87300,2024-04-28T18:33:13.000Z,False,False,40,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
87,2024-07-10T23:49:19.000Z,False,False,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
87,2024-07-11T01:11:23.000Z,False,False,23,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
869400,2024-03-06T22:32:45.000Z,False,False,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
86800,2024-06-23T22:55:19.000Z,False,False,52,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
868,2024-07-10T19:05:40.000Z,False,False,33,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
8675,2024-07-10T20:35:33.000Z,False,False,92,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
864300,2023-10-17T15:06:28.000Z,False,False,45,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
862,2024-07-10T23:50:18.000Z,False,False,38,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
861,2024-01-29T23:15:45.000Z,False,False,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
85900,2024-07-03T03:58:25.000Z,False,False,91,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
8573,2023-03-10T15:04:21.000Z,False,False,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
85700,2023-12-21T00:08:26.000Z,False,False,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8569,2023-12-18T07:05:33.000Z,True,False,23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
