playCount,createTimeISO,hashtags_0_name,hashtags_0_title,hashtags_1_name,hashtags_1_title,hashtags_2_name,hashtags_2_title,hashtags_3_name,hashtags_3_title,hashtags_4_name,hashtags_4_title,hashtags_5_name,hashtags_5_title,hashtags_6_name,hashtags_6_title,hashtags_7_name,hashtags_7_title,hashtags_8_name,hashtags_8_title,hashtags_9_name,hashtags_9_title,hashtags_10_name,hashtags_10_title,hashtags_11_name,hashtags_11_title,hashtags_12_name,hashtags_12_title,hashtags_13_name,hashtags_13_title,hashtags_14_name,hashtags_14_title,hashtags_15_name,hashtags_15_title,hashtags_16_name,hashtags_16_title,hashtags_17_name,hashtags_17_title,hashtags_18_name,hashtags_18_title,hashtags_19_name,hashtags_19_title,hashtags_20_name,hashtags_20_title,hashtags_21_name,hashtags_21_title,hashtags_22_name,hashtags_22_title,hashtags_23_name,hashtags_23_title,hashtags_24_name,hashtags_24_title,hashtags_25_name,hashtags_25_title,hashtags_26_name,hashtags_26_title,hashtags_27_name,hashtags_27_title,hashtags_28_name,hashtags_28_title,hashtags_29_name,hashtags_29_title,hashtags_30_name,hashtags_30_title,hashtags_31_name,hashtags_31_title,hashtags_32_name,hashtags_32_title,hashtags_33_name,hashtags_33_title,hashtags_34_name,hashtags_34_title,hashtags_35_name,hashtags_35_title,hashtags_36_name,hashtags_36_title,hashtags_37_name,hashtags_37_title,hashtags_38_name,hashtags_38_title,hashtags_39_name,hashtags_39_title,hashtags_40_name,hashtags_40_title,hashtags_41_name,hashtags_41_title,hashtags_42_name,hashtags_42_title,hashtags_43_name,hashtags_43_title,hashtags_44_name,hashtags_44_title,hashtags_45_name,hashtags_45_title,hashtags_46_name,hashtags_47_name,hashtags_47_title,hashtags_48_name,hashtags_48_title,input,isAd,isMuted,musicMeta_musicName,searchHashtag_name,searchHashtag_views,videoMeta_duration
9900000,2024-02-02T13:34:31.000Z,pedernales_manabí_ecuador,,carnaval,"Aunque se hayan pospuesto las celebraciones en tu comunidad, esta semana puedes disfrutar de los Carnavales en TikTok. Queremos ver tus disfraces, tus storytimes más impactantes o tus ideas más alocadas para compartir con tus amigxs 🥳",camiseros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecuador,false,false,LA FALDA,ecuador,195300000000,12
9900000,2023-11-06T01:45:34.000Z,humor,¡Es hora de reírte como nunca! Los videos más divertidos están aquí en TikTok. 😂😂😂,fyp,,limpias,,tiktok,,parati,,quitameesehombre,,foryou,,shaman,,jajaja,"JAJAJA 😂😂😂 Y a tí, ¿qué te hace reír?",cuenca,,ecuador,,comparte,,hazmeviraltiktok,,mima116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuenca,false,false,sonido original,cuenca,11700000000,30
9895,2023-10-02T15:23:36.000Z,lojaderoupas,,comediatiktok,,videosengracados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loja,false,false,som original,loja,8300000000,13
988900,2024-05-31T20:14:37.000Z,locucion,,agencia,,voiceover,"Voice Over for videos? We've got that. Try our new #VoiceOver feature, and tell us what's going on in your world. 🗣️",estudio,,locucioncomercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comercial,false,false,sonido original - maikolofoniestudio,comercial,3100000000,92
984000,2024-06-22T19:34:09.000Z,new,,vlog,share with us your daily life and your most special moments! We wanna see your best original vlogs !!!,fy,,cumparaturi,,gratis,,free,,chio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratis,false,false,Feel Good,gratis,18300000000,23
982,2024-07-10T19:35:37.000Z,santodomingoecuador,,estadosunidos🇺🇸,,amor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,santodomingoecuador,false,false,sonido original,santodomingoecuador,1700000000,173
981300,2023-12-04T23:47:56.000Z,greenscreen,"Try out the #GreenScreen Creative Effect! Check out the latest trends using #greenscreen for some inspiration. Just pick an image from your camera roll, stand in front of a plain background, and make the next TikTok masterpiece.",degreefree,,degreefreepodcast,,degreefreeteens,,degreefreejobs,,degreefreecareers,,electricallineman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,free,false,false,original sound,free,68200000000,106
980600,2023-05-31T00:03:47.000Z,cyber,,ofertas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ofertas,false,false,Flowers,ofertas,14200000000,49
980600,2023-07-03T19:38:47.000Z,adlaurent,,10couplesparfaits,,melanight,,telerealite,,tvrealite,,adlaurent_fit,,realitytv,,allan,,bryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ad,false,false,son original,ad,525800000000,158
9800000,2024-01-23T21:25:37.000Z,humor,¡Es hora de reírte como nunca! Los videos más divertidos están aquí en TikTok. 😂😂😂,chiste,,comedia,"¡El rincón de la risa en TikTok! Disfruta y comparte los mejores memes, chistes e historias de comedia para divertir a todos en casa.",viral,¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM,tendencia,,usa,,mexico,México lindo y querido! 🇲🇽🇲🇽 No olvides utilizar el tag #mexico en tu video!,colombia,,ecuador,,quito,,cdmx,,peru,,españa,,newyork,,panama,Join #Panama hosted by @i_am_kiran！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quito,false,false,sonido original - UniversalPicturesMX,quito,36100000000,9
976900,2024-06-09T15:07:44.000Z,exhibitiongratis,,exhibitionjakarta,,pamerangratisjakarta,,explorejakarta,,dateideajakarta,,hangoutdijakarta,,placetogojkt,,pameranterbaru,,dateideas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratis,false,false,suara asli - Rec Place | AlifIsmailAdha,gratis,18300000000,24
976100,2024-06-14T17:46:48.000Z,,,publi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publi,true,false,som original,publi,33700000000,34
974900,2023-11-29T23:26:34.000Z,,,parati,,foryou,,quito,,ecuador,,bosquedeluz,,jardinbotanico,,navidadenquito,,planesquito,,recorridosnocturno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quito,false,false,Holly Jolly Christmas,quito,36100000000,40
974000,2024-05-08T21:39:13.000Z,omnivisión,,ecuador,,compartir,,ypf,,noticias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,santodomingoecuador,false,false,sonido original,santodomingoecuador,1700000000,119
973,2024-07-10T21:39:16.000Z,ultimoaño,,yasomospromo,,paratii,,fypp,,2024,,ecuador🇪🇨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,promoecuador,false,false,sonido original,promoecuador,748100,57
971600,2024-05-24T23:34:31.000Z,bedjine,,kdilak,,boukipromo,,mizik,,mizikayisyen,,haitiantiktok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,promo,false,false,son original,promo,32100000000,60
9700000,2024-05-20T12:22:03.000Z,careso,,localbrand,,bodycare,,perfume,,indonesia,GO Indonesian Musers~!!! wkwkwk😆😆😆,fypp,,fypシ゚viral,,foryoupage,,halal,,viral,¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM,fypppp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,false,false,suara asli - Iganforyouu<3>,local,6900000000,18
9700000,2024-02-06T22:23:24.000Z,dj,Are you the one responsible for the music this summer? Get inspiration from DJs around the world here.,paredao,,audio,,loja,,locutor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loja,false,false,som original,loja,8300000000,11
9700000,2024-04-25T12:39:28.000Z,glutenfree,,glutenfreerestaurants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,free,false,true,baddie background,free,68200000000,36
96700,2024-07-10T22:56:59.000Z,urgente😱🔴,,rosaargudo,,denunciarosaargudo,,iessecuador,,iess,,nepotismo,,cuenca,,@wilopradoec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuenca,false,false,sonido original,cuenca,11700000000,299
967,2024-07-10T16:03:21.000Z,matam,,dakar,,,,dakar,,afrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,machala,false,false,son original,machala,3600000000,138
965300,2024-06-24T22:22:55.000Z,CapCut,,futbol,Rueda el balón por las canchas del mundo y los amantes del #futbol somos felices. ⚽ ❤️🤩 Celebremos este momento y llenemos TikTok con los mejores videos 😏,henry,,fabregas,,cescfabregas,,anuncio,,españa,,francia,,fyp,,parati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anuncio,false,false,sonido original,anuncio,1900000000,17
96400,2024-01-27T18:05:15.000Z,tiktokmademebuyit,Give us a review.,tiktokfinds,,useful,,musthaves,"Whether you're shopping online, or hitting your local stores, show us those #MustHaves that everyone needs.",lifehacks,Show us those tips and tricks that have changed your life.,goodthings,,gadgets,,instagram,,tiktok,,instagood,,amazonfinds,,amazonfinds2024,,amazonmusthaves,,amazonhome,,morningroutine,"From skincare regimes to breakfast recipes, show us your #MorningRoutine",morningvibes,,clock,,digital,,digitalart,Show us your #DigitalArt!,digitalclock,,love,Spread the #Love this Valentine's Day ❤️.,techtok,"Shoot informative &amp; educational tips videos related to technology to stand a chance to win: Cash up to RM20,000, 10 winners. Tap here to learn more: https://bit.ly/3GMjG4C and check out #TechTok #MalaysiaTechlympics. ⭐ How to participate: Simple, just share your tech tips using your knowledge &amp; creativity! Video must be longer than 10 seconds. ⭐ Challenge Period: 6th to 19th June 2022⭐ All TikTok users reside in Malaysia. Aged 16 Y.O. and above. ⭐ Don’t forget to hashtag #TechTok ⭐ No limitation for the video submission⭐ Rewards Cash up to RM 20,000 (10 winners) Top Prizes eligibility: 10 videos or more, RM 3,000 each (Total: 5 winners) Consolation Prizes eligibility: 5 videos or more, RM 1,000 each (Total: 5 winners) ⭐ Winner Announcement: 28th June 2022 (Winners will receive a notification through TikTok APP)",newtrend,,2024,,bkowners,,homegadgets,,clockwork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ofertas,false,false,不得（剪辑版）,ofertas,14200000000,15
963600,2024-01-03T23:54:48.000Z,raphaofertas,,dolares,,money,,foryou,,economizar,,economico,,osmuquiranas,,dicas,,muitobarato,,juliustodomundoodeiaocris,,muitocaro,,maodevaca,,economizardinheiro,,dinheiro,,economia,,muquiranas,,supermercado,¡Usa la nueva función de dúo! Queremos ver sus mejores creaciones 😂 ¿Cómo hacerlo? 1.- Elige la opción de dúo 2.- Escoge el formato vertical de dúo del lado derecho de tu pantalla. 3.- Ajusta los videos y ¡listo!,mercado,,supermercados,,economizarmeudinheiro,,moneymoneymoney,,ofertas,,ofertas,,imperdivel,,foryoupage,,fyp,,compras,,compra,,alimentos,,supermercadobarato,,superbarato,,centavos,,cadacentavoconta,,umreal,,doisreais,,cincoreais,,cemreais,,dicasdotiktok,,dicastiktokbrasil,,,,,,,,,,,,,,,,,,,,,ofertas,false,false,som original,ofertas,14200000000,79
963,2024-07-11T01:37:54.000Z,317,,ropadecama,,outletropa,,outletpremium,,lareina,,outletchile,,lareinachile,,lascondes,,lascondeschile,,ofertaschile,,ofertas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ofertas,false,false,sonido original,ofertas,14200000000,55
960600,2024-06-28T09:31:58.000Z,keşfet,https://m.tiktok.com/magic/eco/runtime/release/60c316c395fb69030c86725a?appType=muse?magic_source=CM,gratis,,gratisalışverişi,,indirimliürünler,,gratisindirimi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratis,false,false,orijinal ses,gratis,18300000000,449
9600000,2023-12-12T00:30:22.000Z,samsung,,gamamedia,,coppel,,publicidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publicidad,false,false,"Suspense, horror, piano and music box",publicidad,59000000000,65
9600000,2024-03-24T00:04:45.000Z,mazufashion,,fyp,,foryou,,ca,,anaheim,,oc,,localclothingstore,,localclothingstore,,fashiontok,We love Fashion 🌹 Let's celebrate your style on TikTok!,foryou,,dickies,,cargopants,,onlineshopping,"Whether you're waiting for packages, or just stocking up for the holidays, show us what you're buying online.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,false,false,Dile Austin Millz Remix,local,6900000000,9
96000,2024-05-15T16:58:44.000Z,wz2,,warzone3,,callofdutvméxico,,fyp,,warzoneclips,,gaming,"Stock up on extra lives, because we're celebrating the #Gaming community. Show us what you're playing, where you play, and your top recommendations!",warzone,Muéstranos tus mejores jugadas,gamer,Find the best videos of the #Gamer world!  🕹,wz3,,foryou,,parati,,codclips,,cod,,rebirthislandwarzone,,rebirthisland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anuncio,false,false,sonido original,anuncio,1900000000,26
958,2024-07-11T01:17:28.000Z,recuerdos,Usa este hashtag para compartir como suenan tus mejores recuerdos,fypシ,,viral,¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM,quito_ecuador🇪🇨,,😅😅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quito,false,false,MERCHO (feat. Nico Valdi),quito,36100000000,14
956200,2024-01-29T03:52:02.000Z,dondeir,,ciudaddemexico,,estadodemexico,,cdmx,,dondeircdmx,,centrocomercial,,datos,,cdmx🇲🇽,,viral,¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM,fyp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comerciales,false,false,edamame,comerciales,789600000,45
9562,2023-09-20T15:09:06.000Z,otavalo_imbabura_ecuador🇪🇨,,compania,,imbabura,,ecuador,,🎶🎶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambato,false,false,sonido original,ambato,4600000000,41
953700,2024-06-20T14:45:10.000Z,📷,,,,locallivingnj,,meadowlandsstatefair,,fairfun,,njevents,,fireworks,"Baby, you are the firework!!! Try to create the most beautiful musical by combinging a great song with a firework video.",familyfun,Gather the family for some awesome family games or show us how you have fun together!  👨‍👩‍👦‍👦,summervibes,"Summer state of mind 🌴🌺 Share your summer secrets from refreshing recipes and trendy outfits to travel plans, vlogs, and more. Let's turn up the heat! 🔓🌅 Redeem your summer coupons here: https://shorturl.at/OHONM",unlimitedrides,,fairfood,,carnivalgames,,pettingzoo,,newjersey,,summer2024,"Summer is here! Share with us your summer escapades, summer-proof looks, fits and all the must-haves for the sea-sun 🏖",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,false,false,original sound,local,6900000000,12
9519,2023-05-20T17:11:58.000Z,viveambato,,ambato,,liceocevallos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambato,false,false,sonido original,ambato,4600000000,153
951200,2022-11-16T21:39:38.000Z,😇,,ofertas,,lodescubrientiktok,en 2022 descubriste ideas útiles y cool en TikTok y 2023 no será la excepción,descuentos,,chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ofertas,false,false,sonido original,ofertas,14200000000,12
95100,2023-09-24T21:33:50.000Z,promocao,,promoçãoderoupasfemininas,,sale,Benji &amp; Fede vi invitano a condividere quello che vi fa star bene tutti i giorni e vi fa scacciare l’ansia… con #Sale in sottofondo! 😊,promoçãoderoupas,,tractorjeans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ofertas,false,false,som original,ofertas,14200000000,17
95000,2024-04-24T14:10:42.000Z,machala,,eloro,,asados,,ecuador🇪🇨,,comida,Aquí encontrarás todo sobre #Comida. Descubre el mundo con cientos de platos creativos 🍱 🌽🍔,promo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,promoecuador,true,false,sonido original,promoecuador,748100,33
95,2024-07-10T22:30:34.000Z,paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,,virall,,ecuador🇪🇨,,santodomingo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,santodomingoecuador,false,false,sonido original,santodomingoecuador,1700000000,9
949100,2024-05-09T13:02:05.000Z,concejalalbertopantoja,,santodomingodelostsachilas,,ecuador🇪🇨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,santodomingoecuador,false,false,Epic Legend,santodomingoecuador,1700000000,79
9400000,2024-03-23T02:03:21.000Z,roytwins,,roylimaryroyerlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,free,false,false,sonido original,free,68200000000,12
939500,2024-03-31T03:28:11.000Z,waldos,,ofertas,,fyp,,mexico,México lindo y querido! 🇲🇽🇲🇽 No olvides utilizar el tag #mexico en tu video!,yk2,,kpop,"No matter who you stan, we're here for all things #KPop.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ofertas,false,false,sonido original,ofertas,14200000000,22
939200,2024-07-01T17:58:39.000Z,yulay,,ecatepec,,electricas,,bicicletas,,mexico,México lindo y querido! 🇲🇽🇲🇽 No olvides utilizar el tag #mexico en tu video!,coreanovlogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tienda,false,false,"Así Fue - En Vivo Desde Bellas Artes, México/ 2013",tienda,9700000000,8
